name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"hebbel-der-gehoernte-siegfried","ger000016","Q56448206","Hebbel","0","Der gehörnte Siegfried","Vorspiel in einem Akt","","http://www.textgridrep.org/textgrid:pkng.0","Hanser","München","1964","22","1861","9","false","0.7185185185185186","0.5555555555555556","1.0909090909090908","several characters","4.444444444444445","2","1861","1862","6","9","2","7","0","","2","20","","4","0","0","5117","5032","98","0","694"
"hebbel-der-rubin","ger000325","Q56439266","Hebbel","0","Der Rubin","Ein Märchen-Lustspiel in drei Akten","Comedy","http://www.textgridrep.org/textgrid:pm7m.0","","","","","1849","17","false","0.7475152298681711","0.5","1.5514705882352942","assad","8","3","1849","1851","14","17","1","15","1","","1","68","1849","23","0","3","12351","12011","1265","0","1732"
"hebbel-genoveva","ger000327","Q56438347","Hebbel","0","Genoveva","Eine Tragödie in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pmtc.0","","","","","1843","19","false","0.8425349246556678","0.43859649122807015","1.5614035087719298","golo","7.894736842105263","2","1849","1843","17","19","3","15","1","","1","75","","44","0","5","33896","33087","2804","0","4511"
"hebbel-gyges-und-sein-ring","ger000238","Q56439734","Hebbel","0","Gyges und sein Ring","Eine Tragödie in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pmj9.0","Hanser","München","1964","66","1856","9","false","0.9722222222222222","0.9722222222222222","1.0277777777777777","several characters","7.777777777777778","2","1889","1856","8","9","3","5","1","","1","35","","5","0","5","16211","16073","512","0","2290"
"hebbel-herodes-und-mariamne","ger000101","Q56448192","Hebbel","0","Herodes und Mariamne","Eine Tragödie in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pmgg.0","","","","","1849","27","false","0.8421874542789575","0.2962962962962963","1.9173789173789173","herodes|titus","7.703703703703703","4","1849","1850","18","27","3","23","1","","1","104","","35","0","5","26986","26689","1028","0","3804"
"hebbel-judith","ger000324","Q1711004","Hebbel","0","Judith","Eine Tragödie in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pn2n.0","","","","","1840","59","false","0.9541372916404028","0.3699590882524839","1.630040911747516","achior","21.45762711864407","2","1840","1841","53","59","7","50","2","","1","633","","7","3","5","22494","21841","1252","613","0"
"hebbel-kriemhilds-rache","ger000160","Q56448247","Hebbel","0","Kriemhilds Rache","Ein Trauerspiel in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pm1c.0","Hanser","München","1964","103","1861","21","false","0.7700385593242738","0.5333333333333333","1.4952380952380953","hagen","10.666666666666666","3","1861","1862","18","21","4","17","0","","1","112","","72","0","5","23439","22796","1496","0","3271"
"hebbel-maria-magdalene","ger000309","Q1896129","Hebbel","0","Maria Magdalene","Ein bürgerliches Trauerspiel in drei Akten","Tragedy","http://www.textgridrep.org/textgrid:pkx0.0","","","","","1844","11","false","0.7545454545454546","0.5636363636363636","1.4363636363636363","klara","5.636363636363637","2","1846","1844","10","11","3","8","0","","1","31","","24","5","3","25317","16974","706","455","16"
"hebbel-siegfrieds-tod","ger000392","Q56448223","Hebbel","0","Siegfrieds Tod","Ein Trauerspiel in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:pn22.0","Hanser","München","1964","79","1861","18","false","0.7398555148555149","0.5098039215686274","1.3553719008264462","kriemhild","8.666666666666666","2","1861","1862","15","18","4","12","2","","2","78","","46","0","5","17547","17179","1029","0","2516"
"hebbel-trauerspiel-in-sizilien","ger000296","Q56439572","Hebbel","0","Ein Trauerspiel in Sizilien","Tragikomödie in einem Akt","Tragicomedy","http://www.textgridrep.org/textgrid:pmp3.0","","","","","1847","9","false","0.8904761904761904","0.6944444444444444","1.3055555555555556","ambrosio|bartolino","5.555555555555555","2","1907","1847","8","9","1","8","0","","1","25","1847","7","0","0","7533","6609","275","0","942"
"heine-almansor","ger000284","Q19127058","Heine","0","Almansor","Eine Tragödie","Tragedy","http://www.textgridrep.org/textgrid:psxj.0","","","","","1821","35","false","0.9305165815360718","0.46050420168067224","1.6067226890756303","zuleima|aly","15.657142857142857","3","1823","1821","30","35","4","29","2","","1","274","","8","1","0","13747","13527","1078","0","1815"
"heine-william-ratcliff","ger000446","Q21552749","Heine","0","William Ratcliff","Tragödie","Tragedy","http://www.textgridrep.org/textgrid:ptkw.0","","","","","1823","16","false","0.9207875457875458","0.5833333333333334","1.4166666666666667","ratcliff","8.75","2","1888","1823","15","16","2","13","1","","1","70","","4","0","0","7452","6800","896","3","847"
"heiseler-die-kinder-godunofs","ger000029","Q55724067","Heiseler","0","Die Kinder Godunófs","Tragödie","Tragedy","http://www.textgridrep.org/textgrid:pvxf.0","","","","","1929","31","false","0.9125849573439446","0.43870967741935485","1.5612903225806452","boris","13.161290322580646","2","1930","1929","30","31","3","27","1","","1","204","1923","5","0","5","13473","13159","1433","0","1837"
"heiseler-peter-und-alexej","ger000196","Q55724133","Heiseler","0","Peter und Alexéj","Tragödie","Tragedy","http://www.textgridrep.org/textgrid:pvxk.0","","","","","1912","29","false","0.8725870754908868","0.5763546798029556","1.4236453201970443","several characters","16.137931034482758","2","1913","1912","28","29","3","25","1","","1","234","1906","5","0","5","17629","16864","2823","76","2167"
"hensler-die-teufelsmuehle-am-wienerberg","ger000111","Q55724220","Hensler","0","Die Teufelsmühle am Wienerberg","Ein österreichisches Volksmährchen mit Gesang in vier Aufzügen","","http://www.textgridrep.org/textgrid:pzj2.0","","","","","1799","35","false","0.791505410780983","0.2453781512605042","1.8705882352941177","guenther","8.342857142857143","4","","1799","29","35","4","20","11","","1","146","","58","1","4","15761","14871","2266","653","340"
"herzenskron-hoang-puff","ger000571","Q111669378","Herzenskron","0","Hoang-Puff","Posse in einem Acte, nach dem Französischen der Herren Caignéz und Louis frey bearbeitet","Comedy","https://de.wikisource.org/wiki/Hoang-Puff","","","","","1822","7","false","0.8857142857142858","0.8571428571428571","1.1428571428571428","hoang-puff|zimar|nadir","5.142857142857143","2","1822","1826","6","7","1","6","0","","1","18","","18","0","0","5770","5506","562","343","0"
"heym-atalanta-oder-die-angst","ger000535","Q106254921","Heym","0","Atalanta oder Die Angst","","","http://www.textgridrep.org/textgrid:q3hr.0","","","","","1911","3","false","1","1","1","atalanta|bartolomeo|sigismondo","2","1","1981","1962","2","3","1","2","0","","1","3","1910/1911","3","0","1","7477","7326","1021","0","960"
"heyne-der-stammbaum","ger000553","Q110080014","Heyne","0","Der Stammbaum","Erste Fortsetzung der beyden Billets","Comedy","https://de.wikisource.org/wiki/Der_Stammbaum_(1791)","","","","","1791","4","false","1","1","1","several characters","3","1","","1791","3","4","1","3","0","","1","6","","9","0","0","7955","7855","827","348","0"
"heyne-die-beiden-billets","ger000482","Q79349104","Heyne","0","Die beiden Billets","Ein Lustspiel in einem Akt","Comedy","https://de.wikisource.org/wiki/Die_beiden_Billets_(1790)","","","","","1783","3","false","1","1","1","guerge|schnapps|roesgen","2","1","1783","1783","2","3","1","2","0","","1","3","","11","0","0","6067","5969","296","192","0"
"heyse-colberg","ger000047","Q56201612","Heyse","0","Colberg","Historisches Schauspiel in fünf Akten","","http://www.textgridrep.org/textgrid:q4j5.0","","","","","1865","30","false","0.8638153501698393","0.35172413793103446","1.7517241379310344","gneisenau","10.2","3","1865","1868","22","30","2","25","3","","1","153","","49","0","5","21602","20534","2671","5","2909"
"heyse-don-juans-ende","ger000266","Q56201730","Heyse","0","Don Juan's Ende","Trauerspiel in fünf Akten","Tragedy","http://www.textgridrep.org/textgrid:q41n.0","","","","","1883","15","false","0.8404003404003404","0.49523809523809526","1.5142857142857142","don_juan","6.933333333333334","3","1884","1883","13","15","4","9","2","","1","52","","33","0","5","21408","20575","3158","614","18"
"hippel-der-mann-nach-der-uhr","ger000359","Q51393766","Hippel","0","Der Mann nach der Uhr oder Der ordentliche Mann","Lustspiel in einem Aufzuge","Comedy","http://www.textgridrep.org/textgrid:q5q1.0","","","","","1765","6","false","1","1","1","several characters","5","1","1765","1765","5","6","2","4","0","","1","15","","18","0","0","8873","8718","524","409","0"
"hofmannsthal-alkestis","ger000115","Q56448268","Hofmannsthal","0","Alkestis","Ein Trauerspiel nach Euripides","Tragedy","http://www.textgridrep.org/textgrid:qdk1.0","","","","","1894","33","false","1","0.8295454545454546","1","several characters","26.545454545454547","1","1916","1909","29","33","8","17","7","","2","438","1893/1894","2","0","1","7547","7506","743","0","975"
"hofmannsthal-arabella","ger000210","Q390779","Hofmannsthal","0","Arabella","Lyrische Komödie in drei Aufzügen","Comedy","http://www.textgridrep.org/textgrid:qdmd.0","","","","","1928","18","false","0.8966727716727717","0.7777777777777778","1.2222222222222223","several characters","13.222222222222221","2","1933","1928","17","18","5","12","1","","1","119","","3","19","3","13921","13574","3370","0","1364"
"hofmannsthal-ariadne-auf-naxos","ger000267","Q654633","Hofmannsthal","0","Ariadne auf Naxos","Oper in einem Aufzuge nebst einem Vorspiel / Neue Bearbeitung","","http://www.textgridrep.org/textgrid:qd3h.0","","","","","1912","17","true","0.9279411764705883","0.6397058823529411","1.3602941176470589","der_tenor_bacchus|zerbinetta|primadonna_ariadne","10.235294117647058","2","1916","1912","16","17","5","12","0","","1","87","","2","21","1","7914","7737","1802","177","546"
"hofmannsthal-das-bergwerk-zu-falun","ger000161","Q18572634","Hofmannsthal","0","Das Bergwerk zu Falun","","","http://www.textgridrep.org/textgrid:qdqn.0","","","","","1899","27","false","0.9208320764203117","0.46153846153846156","1.5384615384615385","elis","12","2","1949","1933","26","27","13","13","1","","1","162","1899","5","1","5","21735","21105","3998","0","2474"
"hofmannsthal-das-salzburger-grosse-welttheater","ger000265","Q56255229","Hofmannsthal","0","Das Salzburger große Welttheater","","","http://www.textgridrep.org/textgrid:qdm5.0","","","","","1922","16","false","1","1","1","several characters","15","1","1922","1929","15","16","1","7","8","","1","120","","1","1","1","14215","14042","3223","134","1064"
"hofmannsthal-der-abenteurer-und-die-saengerin","ger000102","Q56448275","Hofmannsthal","0","Der Abenteurer und die Sängerin oder Die Geschenke des Lebens","In einem Aufzug (mit einer Verwandlung)","","http://www.textgridrep.org/textgrid:qdks.0","","","","","1899","16","false","0.9416666666666669","0.8833333333333333","1.1166666666666667","several characters","13.25","2","1899","1899","15","16","5","11","0","","1","106","1898","2","0","0","18039","17740","3423","85","1922"
"hofmannsthal-der-rosenkavalier","ger000109","Q471240","Hofmannsthal","0","Der Rosenkavalier","Komödie für Musik","","http://www.textgridrep.org/textgrid:qdjz.0","","","","","1911","32","true","0.9146343940911004","0.5564516129032258","1.4435483870967742","several characters","17.25","2","1911","1911","31","32","6","20","6","","1","276","1909/1910","3","31","3","20724","19753","7619","0","1785"
"hofmannsthal-der-schwierige","ger000364","Q200657","Hofmannsthal","0","Der Schwierige","Lustspiel in drei Akten","Comedy","http://www.textgridrep.org/textgrid:qd6w.0","","","","","1920","18","false","0.7404897571564238","0.39215686274509803","1.6862745098039216","hans_karl|crescence","6.666666666666667","3","1921","1920","13","18","7","11","0","","1","60","1917","48","2","3","29644","29167","2513","1280","0"
"hofmannsthal-der-tod-des-tizian","ger000127","Q1197448","Hofmannsthal","0","Der Tod des Tizian","Ein dramatisches Fragment","","http://www.textgridrep.org/textgrid:qdhd.0","","","","","1901","9","false","0.8888888888888888","0.7777777777777778","1","several characters","6.222222222222222","1","1901","1901","7","9","1","8","0","","2","28","1892","2","2","1","3042","2727","745","0","324"
"hofmannsthal-der-tor-und-der-tod","ger000079","Q1197570","Hofmannsthal","0","Der Tor und der Tod","","","http://www.textgridrep.org/textgrid:qd27.0","","","","","1894","6","false","1","1","1","several characters","5","1","1898","1894","5","6","2","3","1","","1","15","1893","1","2","1","4185","4060","495","0","554"
"hofmannsthal-der-turm","ger000387","Q1197640","Hofmannsthal","0","Der Turm","Ein Trauerspiel in fünf Aufzügen","Tragedy","http://www.textgridrep.org/textgrid:qdj2.0","","","","","1924","97","false","0.9532155290880571","0.31507731958762886","1.698668384879725","julian","30.24742268041237","3","1928","1924","92","97","4","90","3","","1","1467","1921/1924","7","2","5","36106","35524","7293","1168","0"
"hofmannsthal-der-unbestechliche","ger000386","Q1197676","Hofmannsthal","0","Der Unbestechliche","Lustspiel in fünf Akten","Comedy","http://www.textgridrep.org/textgrid:qd46.0","","","","","1923","13","false","0.7606449106449106","0.6282051282051282","1.3717948717948718","baronin","7.538461538461538","2","1923","1924","12","13","7","6","0","","1","49","1923","39","3","5","18589","17779","3327","725","0"
"hofmannsthal-die-frau-im-fenster","ger000237","Q55118676","Hofmannsthal","0","Die Frau im Fenster","","","http://www.textgridrep.org/textgrid:qdmw.0","","","","","1898","4","false","0.75","0.5","1","amme|dianora|braccio","1.5","1","1898","1898","2","4","2","2","0","","2","3","1897","2","0","1","8280","7923","1335","66","844"
"hofmannsthal-die-frau-ohne-schatten","ger000012","Q1143019","Hofmannsthal","0","Die Frau ohne Schatten","Oper in drei Akten","","http://www.textgridrep.org/textgrid:qdcq.0","","","","","1919","24","true","0.8935987448859303","0.677536231884058","1.3224637681159421","several characters","15.583333333333334","2","1919","1919","23","24","4","9","11","","1","187","1911/1915","3","18","3","12151","11963","3702","0","1929"
"hofmannsthal-elektra","ger000375","Q731927","Hofmannsthal","0","Elektra","Tragödie in einem Aufzug frei nach Sophokles","Tragedy","http://www.textgridrep.org/textgrid:qd2g.0","","","","","1903","18","false","1","1","1","several characters","17","1","1903","1904","17","18","12","6","0","","1","153","1903","1","27","1","11258","11193","1492","0","1459"
"hofmannsthal-jedermann","ger000159","Q16632333","Hofmannsthal","0","Jedermann","Das Spiel vom Sterben des reichen Mannes","","http://www.textgridrep.org/textgrid:qdnz.0","","","","","1911","43","false","1","1","1","several characters","42","1","1911","1911","42","43","11","26","6","","1","903","1903/1911","1","6","1","12383","12322","876","0","1792"
"hofmannsthal-oedipus-und-die-sphinx","ger000300","Q293984","Hofmannsthal","0","Ödipus und die Sphinx","Tragödie in drei Aufzügen","Tragedy","http://www.textgridrep.org/textgrid:qdm9.0","","","","","1906","34","false","0.9788106448112842","0.5811051693404634","1.4188948306595366","oedipus","19.176470588235293","2","1906","1906","33","34","4","28","2","","1","326","1904/1905","3","1","3","22869","22646","2357","0","3090"
"holtei-die-kalkbrenner","ger000331","Q56255253","Holtei","0","Die Kalkbrenner","Liederposse in einem Akt","Comedy","http://www.textgridrep.org/textgrid:qfxj.0","","","","","1825","8","false","0.8392857142857143","0.7857142857142857","1.2142857142857142","kotzeluch","5.5","2","1825","1828","7","8","2","6","0","","1","22","","11","0","0","6894","6368","465","197","148"
"holtei-ein-trauerspiel-in-berlin","ger000289","Q56255245","Holtei","0","Ein Trauerspiel in Berlin","Bürgerliches Drama in drei Akten","Tragedy","http://www.textgridrep.org/textgrid:qfxf.0","","","","","1832","18","false","0.8269505186171853","0.5359477124183006","1.4901960784313726","doerthe","9.11111111111111","3","1832","1838","15","18","4","13","1","","1","82","","40","0","3","19356","18186","2217","734","0"
"holz-ignorabimus","ger000390","Q51400411","Holz","0","Ignorabimus","Tragödie","Tragedy","http://www.textgridrep.org/textgrid:qh44.0","","","","","1914","7","false","1","1","1","several characters","6","1","1927","1914","6","7","1","4","2","","1","21","","5","0","5","105637","104108","48851","3857","0"
"holz-jerschke-traumulus","ger000399","Q56254577","Holz","1","Traumulus","Tragische Komödie","Tragicomedy","http://www.textgridrep.org/textgrid:qh0j.0","","","","","1904","27","false","0.8403898786939722","0.4301994301994302","1.6894586894586894","zedlitz","11.185185185185185","3","1904","1904","20","27","3","24","0","","1","151","","5","0","5","20357","19783","3259","923","29"
"holz-schlaf-die-familie-selicke","ger000223","Q1212316","Holz","1","Die Familie Selicke","Drama in drei Aufzügen","","http://www.textgridrep.org/textgrid:qggj.0","","","","","1890","8","false","1","1","1","several characters","7","1","1890","1890","7","8","3","5","0","","1","28","","3","1","3","18971","18524","5511","801","2"
"holz-sonnenfinsternis","ger000174","Q56254816","Holz","0","Sonnenfinsternis","Tragödie","Tragedy","http://www.textgridrep.org/textgrid:qhpn.0","","","","","1908","6","false","0.9333333333333332","0.9333333333333333","1.0666666666666667","several characters","4.666666666666667","2","1913","1908","5","6","1","5","0","","1","14","","5","0","5","56770","55594","25800","2101","0"
